,Name,Distance,Mass,Radius,Gravity
124,2MASS J16150413+1340079 [de],48.0,8.3538e+31,653958000.0,13036.786760187986
125,SDSSp J162414.37+002915.6 [de],36.0,8.5527e+31,653958000.0,13347.186444954366
126,2MASS J16262034+3925190 [de],110.0,1.41219e+32,716571000.0,18355.27426112711
127,2MASSW J1632291+190441 [de],50.0,9.7461e+31,674829000.0,14283.333947836243
128,WISEPA J164715.59+563208.2,28.0,8.154899999999999e+31,653958000.0,12726.387075421604
129,LSPM J1658+7027 [de],60.0,1.45197e+32,723528000.0,18511.13978046311
130,2MASSI J1726000+153819,114.0,4.7736e+31,973980000.0,3358.3978954233557
131,SDSSp J175032.96+175903.9,90.0,9.348300000000001e+31,674829000.0,13700.340725475582
132,2MASS J18283572-4849046,39.0,8.9505e+31,660915000.0,13675.470654493993
133,LSR J1835+3259,18.5,1.53153e+32,744399000.0,18445.912684415405
134,2MASSW J1841086+311727,138.0,1.33263e+32,702657000.0,18013.95335534894
135,2MASS J18432213+4040209,46.0,1.90944e+32,848754000.0,17690.02922609453
136,2MASS J20004841-7523070,105.0,4.9725e+31,1307916000.0,1939.9980297898792
137,SDSS J204749.61-071818.3,65.0,9.1494e+31,667872000.0,13689.64998604644
138,2MASSI J2057540-025230,47.0,1.3923e+32,709614000.0,18453.326895588405
139,2MASSI J2104149-103736,62.0,1.3724100000000001e+32,709614000.0,18189.707939937143
140,PSO J318.5−22,80.0,1.29285e+31,1064421000.0,761.5658718814262
141,HB 2124-4228,113.0,1.8696600000000002e+32,841797000.0,17608.975600846905
142,2MASS J21392676+0220226,32.1,9.1494e+31,667872000.0,13689.64998604644
143,2MASS J21481628+4003593,26.3,1.09395e+32,688743000.0,15391.086501659593
144,2MASSW J2206450-421721,93.0,4.3758e+31,925281000.0,3411.1151292388645
145,2MASSW J2208136+292121,154.0,5.3703e+31,980937000.0,3724.796217196568
146,2MASSW J2224438-015852,38.0,1.21329e+32,688743000.0,17070.11412002246
147,2MASS J22282889-4310262,35.0,8.3538e+31,653958000.0,13036.786760187986
148,2MASS J22373255+3922398,64.0,1.45197e+32,723528000.0,18511.13978046311
149,2MASSW J2244316+204343,56.0,2.3868e+31,897453000.0,1977.7837494831365
150,2MASS J23224684-3133231,56.0,4.7736e+31,967023000.0,3406.8939884218084
151,2MASS J23225299-6151275,148.0,3.3813e+31,1106163000.0,1844.300361857821
152,2MASS J23515044-2537367,67.0,1.75032e+32,807012000.0,17936.74658772481
153,2MASSI J2356547-155310,74.0,1.5912e+32,758313000.0,18467.749277641546
154,WISE 0410+1502,20.0,1.1934e+31,813969000.0,1202.1440344491518
155,WISE 0458+6434A,35.9,2.9835e+31,2921940000.0,233.22207607106628
156,WISE 0458+6434B,35.9,1.989e+31,2643660000.0,189.93709242352767
157,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
158,SDSS J000013.54+255418.6 [de],46.1,9.1136425536e+28,70777296.90899992,1214.2000569364636
159,2MASS J00040288-6410358,192.0,3.6074835108e+28,116532317.13299993,177.2955327030963
160,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
161,2MASS J00274197+0503417,236.0,5.8858941492000005e+28,102948795.50399992,370.6432628229714
162,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71799994,1393.9943359838155
163,2MASS J00332386-1521309 [de],131.0,5.5061590428e+28,102233873.31299992,351.5971318717642
164,2MASS J00345157+0523050,31.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
165,2MASS 0036+1821,28.6,7.974437234399999e+28,67202685.95399994,1178.4549471797186
166,2MASSW J0045214+163445,57.0,4.3669537236e+28,115817394.942,217.2787267524544
167,WISEP J004701.06+680352.1 [fr],40.0,2.2784106384e+28,92939884.82999994,176.0410467164833
168,2MASS J00501994-3322402 [de],34.0,7.594702128e+28,67202685.95399994,1122.3380449330652
169,2MASS J00584253-0651239 [de],96.0,5.5061590428e+28,102233873.31299992,351.5971318717642
170,2MASSI J0103320+193536,70.0,9.8731127664e+28,70062374.71799994,1342.364916132563
171,SDSSp J010752.33+004156.1 [de],51.0,9.8731127664e+28,70062374.71799994,1342.364916132563
172,2MASSI J0117474-340325 [de],163.0,3.797351064e+28,115817394.942,188.93802326300383
173,2MASS J01415823-4633574 [de],130.0,3.797351064e+28,115102472.751,191.292368446984
174,SDSS J015141.69+124429.6,70.0,8.9237750004e+28,69347452.52699994,1238.436633426354
175,SDSS J020742.48+000056.2 [de],111.0,8.9237750004e+28,69347452.52699994,1238.436633426354
176,2MASS J02103857-3015313,101.0,2.848013298e+28,109383095.223,158.86484308965376
177,2MASS J02340093-6442068,155.0,3.797351064e+28,115817394.942,188.93802326300383
178,2MASS J02411151-0326587 [de],152.0,5.1264239364e+28,100804028.93099992,336.70141347991955
179,2MASS J02431371−2453298,35.0,6.265629255599999e+28,70777296.90899992,834.7625391438187
180,LP 771-21,53.0,1.48096691496e+29,77211596.628,1657.9311541328584
181,Teegarden's star,12.578,1.5189404256e+29,90795118.25699992,1229.7078510792437
182,2MASS J02535980+3206373,184.0,1.2341390958e+29,135835216.28999993,446.4014077055791
183,WISE J0254+0223,24.0,1.2341390958e+29,135835216.28999993,446.4014077055791
184,DEN 0255-4700,16.2,1.5189404256e+29,69347452.52699994,2107.977248385283
185,2MASS J03185403-3421292 [de],45.0,9.3035101068e+28,69347452.52699994,1291.136064635986
186,2MASS J03205965+1854233,47.0,1.67083446816e+29,82216051.96499993,1649.7053854867931
187,2MASS J03231002-4631237,192.0,4.3669537236e+28,118677083.706,206.9336226190817
188,SDSS J032553.17+042540.1,59.0,8.544039894e+28,67917608.14499994,1236.18851364622
189,2MASS J03264225-2102057 [de],80.0,3.4176159576e+28,92939884.82999994,264.0615700747249
190,2MASS J03284265+2302051 [de],98.0,1.02528478728e+29,70062374.71799994,1393.9943359838155
191,2MASS J03341218-4953322,27.0,1.3860331383599998e+29,74351907.864,1673.3068242582376
192,LP 944-20,20.9,1.3860331383599998e+29,102233873.31299992,885.0548491944406
193,2MASP J0345432+254023,88.0,1.40501989368e+29,75066830.055,1664.073567827919
194,Teide 1,380.0,1.0442715426e+29,270240588.1979999,95.4329811379459
195,2MASS J03510004-0052452,48.0,1.93664904264e+29,90795118.25699992,1567.877510126036
196,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
197,2MASS J04151954−0935066,18.6,5.696026596e+28,67917608.14499994,824.1256757641465
